run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_031,"(0.00043010711669921875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_032,"(0.2128283977508545, 1.3184776218916423)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_033,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_034,"(0.00038123130798339844, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_035,"(0.0004258155822753906, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_036,"(0.019032716751098633, 1.8522822865740198)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_037,"(0.0003845691680908203, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_038,"(0.0018427371978759766, 2.0971846761960395)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_039,"(0.0003826618194580078, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_040,"(3.4879114627838135, 0.1861233480930844)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_041,"(3.4473509788513184, 0.5652888321489322)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_042,"(0.0004277229309082031, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_043,"(0.00037598609924316406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_044,"(0.4329547882080078, 1.9615213567808836)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_045,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_046,"(0.00041031837463378906, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_047,"(0.00039196014404296875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_048,"(0.0003871917724609375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_049,"(3.523824453353882, 0.5147633180860725)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_000,"(0.00046896934509277344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_002,"(0.0004444122314453125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_003,"(0.0005562305450439453, 0)"
