run_details,runtime
algorithm_Alg2_num_nodes_000005_sim_037,"(0.0016322135925292969, 0.6500164540354552)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_037,"(0.0010528564453125, 0.6500164540354552)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_038,"(0.001085519790649414, 2.4725379425755536)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_038,"(0.0011370182037353516, 2.4725379425755536)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_038,"(0.002989053726196289, 2.4725379425755536)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_038,"(0.0031015872955322266, 2.4725379425755536)"
algorithm_Alg2_num_nodes_000005_sim_038,"(0.004065990447998047, 2.4725379425755536)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_038,"(0.019148826599121094, 2.4725379425755536)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_039,"(0.0010046958923339844, 0.5457472750226838)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_039,"(0.0009682178497314453, 1.594930291766678)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_039,"(0.002371072769165039, 0.5457472750226838)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_039,"(0.002433300018310547, 0.5457472750226838)"
algorithm_Alg2_num_nodes_000005_sim_039,"(0.002025604248046875, 0.5457472750226838)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_039,"(0.001722574234008789, 0.5457472750226838)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_040,"(0.0009403228759765625, 0.6153488903688665)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_040,"(0.0009243488311767578, 0.6153488903688665)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_040,"(0.002026796340942383, 0.6153488903688665)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_040,"(0.0020873546600341797, 0.6153488903688665)"
algorithm_Alg2_num_nodes_000005_sim_040,"(0.0016629695892333984, 0.6153488903688665)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_040,"(0.001062154769897461, 0.6153488903688665)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_041,"(0.0009622573852539062, 0.7325468718491859)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_041,"(0.0009722709655761719, 0.7325468718491859)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_041,"(0.0022916793823242188, 0.7325468718491859)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_041,"(0.002252340316772461, 0.7325468718491859)"
algorithm_Alg2_num_nodes_000005_sim_041,"(0.0019278526306152344, 0.7325468718491859)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_041,"(0.001720428466796875, 0.7325468718491859)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_042,"(0.0002639293670654297, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_042,"(0.00021505355834960938, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_042,"(0.001070261001586914, 0)"
