run_details,runtime
algorithm_heuristicEdgeId1_num_nodes_000005_sim_028,"(0.0013179779052734375, 0.09878288593874841)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_028,"(0.0011775493621826172, 0.09878288593874841)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_028,"(0.0055696964263916016, 0.09878288593874841)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_028,"(0.0024259090423583984, 0.09878288593874841)"
algorithm_Alg2_num_nodes_000005_sim_028,"(0.003218412399291992, 0.09878288593874841)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_028,"(0.0012993812561035156, 0.09878288593874841)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_029,"(0.0011532306671142578, 0.5726487679043726)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_029,"(0.0011219978332519531, 0.9922080633206769)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_029,"(0.0033359527587890625, 0.5726487679043726)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_029,"(0.0038340091705322266, 0.5726487679043726)"
algorithm_Alg2_num_nodes_000005_sim_029,"(0.0029332637786865234, 0.5726487679043726)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_029,"(0.006390094757080078, 0.5726487679043726)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_030,"(0.0011513233184814453, 1.634528601633954)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_030,"(0.0011742115020751953, 1.634528601633954)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_030,"(0.00337982177734375, 1.634528601633954)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_030,"(0.003402233123779297, 1.634528601633954)"
algorithm_Alg2_num_nodes_000005_sim_030,"(0.0036787986755371094, 1.634528601633954)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_030,"(0.0448000431060791, 1.634528601633954)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_031,"(0.0011677742004394531, 1.9093605846765527)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_031,"(0.0014371871948242188, 1.9093605846765527)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_031,"(0.003798246383666992, 1.9093605846765527)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_031,"(0.0032863616943359375, 1.9093605846765527)"
algorithm_Alg2_num_nodes_000005_sim_031,"(0.003302335739135742, 1.9093605846765527)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_031,"(0.008666753768920898, 1.9093605846765527)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_032,"(0.0011115074157714844, 5.28594354297576)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_032,"(0.0012500286102294922, 4.84381741278496)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_032,"(0.0037221908569335938, 5.285943542975759)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_032,"(0.004261493682861328, 4.30573742504558)"
algorithm_Alg2_num_nodes_000005_sim_032,"(0.14711833000183105, 4.30573742504558)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_032,"(0.09652042388916016, 4.2630195642143685)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_033,"(0.0016460418701171875, 1.26042587523336)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_033,"(0.0016417503356933594, 1.26042587523336)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_033,"(0.007923126220703125, 1.26042587523336)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_033,"(0.0072765350341796875, 1.26042587523336)"
algorithm_Alg2_num_nodes_000005_sim_033,"(0.02220630645751953, 1.26042587523336)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_033,"(0.15139412879943848, 1.26042587523336)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_034,"(0.0011992454528808594, 3.6753551405637648)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_034,"(0.001176595687866211, 3.301049919018276)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_034,"(0.004344463348388672, 3.6753551405637648)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_034,"(0.004125833511352539, 2.757253476255106)"
algorithm_Alg2_num_nodes_000005_sim_034,"(0.024418354034423828, 2.757253476255106)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_034,"(0.2548501491546631, 2.757253476255106)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_035,"(0.0002644062042236328, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_035,"(0.0002646446228027344, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_035,"(0.0012547969818115234, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_035,"(0.001529693603515625, 0)"
algorithm_Alg2_num_nodes_000005_sim_035,"(0.0012357234954833984, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_035,"(0.0004010200500488281, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_036,"(0.0011532306671142578, 0.49698850374393705)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_036,"(0.0011925697326660156, 0.49698850374393705)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_036,"(0.0033409595489501953, 0.49698850374393705)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_036,"(0.003770589828491211, 0.49698850374393705)"
algorithm_Alg2_num_nodes_000005_sim_036,"(0.0035495758056640625, 0.49698850374393705)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_036,"(0.07420849800109863, 0.49698850374393705)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_037,"(0.0010557174682617188, 1.9464359290282351)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_037,"(0.0010602474212646484, 1.9546607871952786)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_037,"(0.0027747154235839844, 1.9464359290282351)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_037,"(0.002736806869506836, 1.9546607871952786)"
algorithm_Alg2_num_nodes_000005_sim_037,"(0.0025103092193603516, 1.9464359290282351)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_037,"(0.003441333770751953, 1.9464359290282351)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_038,"(0.0012202262878417969, 5.203159778873865)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_038,"(0.0011048316955566406, 4.927494186104527)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_038,"(0.004341602325439453, 5.203159778873865)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_038,"(0.0037567615509033203, 3.7787699953839615)"
algorithm_Alg2_num_nodes_000005_sim_038,"(0.042914390563964844, 3.7787699953839615)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_038,"(0.16572117805480957, 3.7787699953839615)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_039,"(0.00022864341735839844, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_039,"(0.00025916099548339844, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_039,"(0.0011293888092041016, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_039,"(0.0013129711151123047, 0)"
algorithm_Alg2_num_nodes_000005_sim_039,"(0.0010633468627929688, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_039,"(0.00032901763916015625, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_040,"(0.0011861324310302734, 1.6530274558177214)"
