run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_046,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_047,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_048,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000020_sim_049,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_000,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_003,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_004,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_005,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_006,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_007,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_008,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_009,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_010,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_011,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_012,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_014,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_015,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_016,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_017,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_018,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_019,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_020,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_021,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_022,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_023,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_024,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_025,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_026,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_027,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_028,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_029,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_030,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_031,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_032,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_033,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_034,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_035,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_036,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_037,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_038,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_039,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_040,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_041,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_042,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_043,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_044,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_045,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_046,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_047,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_048,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000030_sim_049,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_000,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_003,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_004,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_005,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_006,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_007,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_008,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_009,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_010,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_011,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_012,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_014,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_015,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_016,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_017,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_018,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_019,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_020,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_021,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_022,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_023,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000040_sim_024,"(inf, inf)"
